----	1	----	 N/A 	ROOT	0	<program>
----	4	----	 N/A 	<program>	0	<moduleDeclarations>
----	4	----	 N/A 	<moduleDeclarations>	0	<moduleDeclaration>
declare	4	DECLARE	 N/A 	<moduleDeclaration>	1	DECLARE
module	4	MODULE	 N/A 	<moduleDeclaration>	1	MODULE
readArr	4	ID	 N/A 	<moduleDeclaration>	1	ID
;	4	SEMICOL	 N/A 	<moduleDeclaration>	1	SEMICOL
----	4	----	 N/A 	<moduleDeclarations>	0	<moduleDeclarations>
----	5	----	 N/A 	<moduleDeclarations>	1	e
----	4	----	 N/A 	<program>	0	<otherModules>
----	5	----	 N/A 	<otherModules>	0	<module>
<<	5	DEF	 N/A 	<module>	1	DEF
module	5	MODULE	 N/A 	<module>	1	MODULE
arraySum	5	ID	 N/A 	<module>	1	ID
>>	5	ENDDEF	 N/A 	<module>	1	ENDDEF
takes	6	TAKES	 N/A 	<module>	1	TAKES
input	6	INPUT	 N/A 	<module>	1	INPUT
[	6	SQBO	 N/A 	<module>	1	SQBO
----	5	----	 N/A 	<module>	0	<input_plist>
list	6	ID	 N/A 	<input_plist>	1	ID
:	6	COLON	 N/A 	<input_plist>	1	COLON
----	6	----	 N/A 	<input_plist>	0	<dataType>
array	6	ARRAY	 N/A 	<dataType>	1	ARRAY
[	6	SQBO	 N/A 	<dataType>	1	SQBO
----	6	----	 N/A 	<dataType>	0	<range>
1	6	NUM	1.000000	<range>	1	NUM
..	6	RANGEOP	 N/A 	<range>	1	RANGEOP
15	6	NUM	15.000000	<range>	1	NUM
]	6	SQBC	 N/A 	<dataType>	1	SQBC
of	6	OF	 N/A 	<dataType>	1	OF
----	6	----	 N/A 	<dataType>	0	<type>
real	6	REAL	 N/A 	<type>	1	REAL
----	6	----	 N/A 	<input_plist>	0	<input_plist_ex>
,	6	COMMA	 N/A 	<input_plist_ex>	1	COMMA
n	6	ID	 N/A 	<input_plist_ex>	1	ID
:	6	COLON	 N/A 	<input_plist_ex>	1	COLON
----	6	----	 N/A 	<input_plist_ex>	0	<dataType>
integer	6	INTEGER	 N/A 	<dataType>	1	INTEGER
----	6	----	 N/A 	<input_plist_ex>	0	<input_plist_ex>
----	6	----	 N/A 	<input_plist_ex>	1	e
]	6	SQBC	 N/A 	<module>	1	SQBC
;	6	SEMICOL	 N/A 	<module>	1	SEMICOL
----	5	----	 N/A 	<module>	0	<ret>
returns	7	RETURNS	 N/A 	<ret>	1	RETURNS
[	7	SQBO	 N/A 	<ret>	1	SQBO
----	7	----	 N/A 	<ret>	0	<output_plist>
sum	7	ID	 N/A 	<output_plist>	1	ID
:	7	COLON	 N/A 	<output_plist>	1	COLON
----	7	----	 N/A 	<output_plist>	0	<type>
real	7	REAL	 N/A 	<type>	1	REAL
----	7	----	 N/A 	<output_plist>	0	<output_plist_ex>
----	7	----	 N/A 	<output_plist_ex>	1	e
]	7	SQBC	 N/A 	<ret>	1	SQBC
;	7	SEMICOL	 N/A 	<ret>	1	SEMICOL
----	5	----	 N/A 	<module>	0	<moduleDef>
start	8	START	 N/A 	<moduleDef>	1	START
----	8	----	 N/A 	<moduleDef>	0	<statements>
----	9	----	 N/A 	<statements>	0	<statement>
----	9	----	 N/A 	<statement>	0	<declareStmt>
declare	9	DECLARE	 N/A 	<declareStmt>	1	DECLARE
----	9	----	 N/A 	<declareStmt>	0	<idList>
index	9	ID	 N/A 	<idList>	1	ID
:	9	COLON	 N/A 	<declareStmt>	1	COLON
----	9	----	 N/A 	<declareStmt>	0	<dataType>
integer	9	INTEGER	 N/A 	<dataType>	1	INTEGER
;	9	SEMICOL	 N/A 	<declareStmt>	1	SEMICOL
----	9	----	 N/A 	<statements>	0	<statements>
----	10	----	 N/A 	<statements>	0	<statement>
----	10	----	 N/A 	<statement>	0	<declareStmt>
declare	10	DECLARE	 N/A 	<declareStmt>	1	DECLARE
----	10	----	 N/A 	<declareStmt>	0	<idList>
t	10	ID	 N/A 	<idList>	1	ID
:	10	COLON	 N/A 	<declareStmt>	1	COLON
----	10	----	 N/A 	<declareStmt>	0	<dataType>
boolean	10	BOOLEAN	 N/A 	<dataType>	1	BOOLEAN
;	10	SEMICOL	 N/A 	<declareStmt>	1	SEMICOL
----	10	----	 N/A 	<statements>	0	<statements>
----	11	----	 N/A 	<statements>	0	<statement>
----	11	----	 N/A 	<statement>	0	<simpleStmt>
----	11	----	 N/A 	<simpleStmt>	0	<assignmentStmt>
sum	11	ID	 N/A 	<assignmentStmt>	1	ID
----	11	----	 N/A 	<assignmentStmt>	0	<whichStmt>
----	11	----	 N/A 	<whichStmt>	0	<lvalueIDStmt>
:=	11	ASSIGNOP	 N/A 	<lvalueIDStmt>	1	ASSIGNOP
----	11	----	 N/A 	<lvalueIDStmt>	0	<expression>
----	11	----	 N/A 	<expression>	0	<AOBE>
----	11	----	 N/A 	<AOBE>	0	<AnyTerm>
----	11	----	 N/A 	<AnyTerm>	0	<arithmeticExpr>
----	11	----	 N/A 	<arithmeticExpr>	0	<term>
----	11	----	 N/A 	<term>	0	<factor>
----	11	----	 N/A 	<factor>	0	<var>
0.0	11	RNUM	0.000000	<var>	1	RNUM
----	11	----	 N/A 	<term>	0	<N5>
----	11	----	 N/A 	<N5>	1	e
----	11	----	 N/A 	<arithmeticExpr>	0	<N4>
----	11	----	 N/A 	<N4>	1	e
----	11	----	 N/A 	<AnyTerm>	0	<WithRelOp>
----	11	----	 N/A 	<WithRelOp>	1	e
----	11	----	 N/A 	<AOBE>	0	<WithLogOp>
----	11	----	 N/A 	<WithLogOp>	1	e
;	11	SEMICOL	 N/A 	<lvalueIDStmt>	1	SEMICOL
----	11	----	 N/A 	<statements>	0	<statements>
----	12	----	 N/A 	<statements>	0	<statement>
----	12	----	 N/A 	<statement>	0	<simpleStmt>
----	12	----	 N/A 	<simpleStmt>	0	<assignmentStmt>
t	12	ID	 N/A 	<assignmentStmt>	1	ID
----	12	----	 N/A 	<assignmentStmt>	0	<whichStmt>
----	12	----	 N/A 	<whichStmt>	0	<lvalueIDStmt>
:=	12	ASSIGNOP	 N/A 	<lvalueIDStmt>	1	ASSIGNOP
----	12	----	 N/A 	<lvalueIDStmt>	0	<expression>
----	12	----	 N/A 	<expression>	0	<AOBE>
----	12	----	 N/A 	<AOBE>	0	<AnyTerm>
----	12	----	 N/A 	<AnyTerm>	0	<arithmeticExpr>
----	12	----	 N/A 	<arithmeticExpr>	0	<term>
----	12	----	 N/A 	<term>	0	<factor>
----	12	----	 N/A 	<factor>	0	<var>
sum	12	ID	 N/A 	<var>	1	ID
----	12	----	 N/A 	<var>	0	<whichId>
----	12	----	 N/A 	<whichId>	1	e
----	12	----	 N/A 	<term>	0	<N5>
----	12	----	 N/A 	<N5>	1	e
----	12	----	 N/A 	<arithmeticExpr>	0	<N4>
----	12	----	 N/A 	<N4>	1	e
----	12	----	 N/A 	<AnyTerm>	0	<WithRelOp>
----	12	----	 N/A 	<WithRelOp>	0	<relationalOp>
>=	12	GE	 N/A 	<relationalOp>	1	GE
----	12	----	 N/A 	<WithRelOp>	0	<negOrPosAE>
----	12	----	 N/A 	<negOrPosAE>	0	<BorNBAE>
----	12	----	 N/A 	<BorNBAE>	0	<arithmeticExpr>
----	12	----	 N/A 	<arithmeticExpr>	0	<term>
----	12	----	 N/A 	<term>	0	<factor>
----	12	----	 N/A 	<factor>	0	<var>
20.0	12	RNUM	20.000000	<var>	1	RNUM
----	12	----	 N/A 	<term>	0	<N5>
----	12	----	 N/A 	<N5>	1	e
----	12	----	 N/A 	<arithmeticExpr>	0	<N4>
----	12	----	 N/A 	<N4>	1	e
----	12	----	 N/A 	<WithRelOp>	0	<WithRelOp>
----	12	----	 N/A 	<WithRelOp>	1	e
----	12	----	 N/A 	<AOBE>	0	<WithLogOp>
----	12	----	 N/A 	<WithLogOp>	1	e
;	12	SEMICOL	 N/A 	<lvalueIDStmt>	1	SEMICOL
----	12	----	 N/A 	<statements>	0	<statements>
----	13	----	 N/A 	<statements>	0	<statement>
----	13	----	 N/A 	<statement>	0	<iterativeStmt>
while	13	WHILE	 N/A 	<iterativeStmt>	1	WHILE
(	13	BO	 N/A 	<iterativeStmt>	1	BO
----	13	----	 N/A 	<iterativeStmt>	0	<AOBE>
----	13	----	 N/A 	<AOBE>	0	<AnyTerm>
----	13	----	 N/A 	<AnyTerm>	0	<arithmeticExpr>
----	13	----	 N/A 	<arithmeticExpr>	0	<term>
----	13	----	 N/A 	<term>	0	<factor>
----	13	----	 N/A 	<factor>	0	<var>
sum	13	ID	 N/A 	<var>	1	ID
----	13	----	 N/A 	<var>	0	<whichId>
----	13	----	 N/A 	<whichId>	1	e
----	13	----	 N/A 	<term>	0	<N5>
----	13	----	 N/A 	<N5>	1	e
----	13	----	 N/A 	<arithmeticExpr>	0	<N4>
----	13	----	 N/A 	<N4>	1	e
----	13	----	 N/A 	<AnyTerm>	0	<WithRelOp>
----	13	----	 N/A 	<WithRelOp>	0	<relationalOp>
>=	13	GE	 N/A 	<relationalOp>	1	GE
----	13	----	 N/A 	<WithRelOp>	0	<negOrPosAE>
----	13	----	 N/A 	<negOrPosAE>	0	<BorNBAE>
----	13	----	 N/A 	<BorNBAE>	0	<arithmeticExpr>
----	13	----	 N/A 	<arithmeticExpr>	0	<term>
----	13	----	 N/A 	<term>	0	<factor>
----	13	----	 N/A 	<factor>	0	<var>
12.8	13	RNUM	12.800000	<var>	1	RNUM
----	13	----	 N/A 	<term>	0	<N5>
----	13	----	 N/A 	<N5>	1	e
----	13	----	 N/A 	<arithmeticExpr>	0	<N4>
----	13	----	 N/A 	<N4>	1	e
